Shares Number,Volume,Net Income,Dividends,Employee Amount,Previous Close,Analysts,Price Target,Earnings Date
88.37M,"231,426",-44.51M,n/a,"6,200",8.56,Strong Buy,12.67,"Aug 8, 2024"
53.37M,"784,574",79.86M,$2.04,736,14.10,Strong Buy,16.25,"Aug 7, 2024"
25.33M,"39,908",54.34M,$0.80,73,29.67,Hold,32.00,"Oct 18, 2024"
115.58M,"579,091",11.68M,n/a,"2,831",6.50,Buy,4.20,"Aug 6, 2024"
81.64M,"12,335",-6.90M,n/a,900,9.20,n/a,n/a,"Sep 6, 2024"
1.01B,"29,374",-73.06M,n/a,"13,481",6.56,Strong Buy,11.00,"Sep 3, 2024"
70.91M,"98,205",17.60M,n/a,"1,174",10.54,Strong Buy,12.38,"Sep 9, 2024"
16.14M,"60,044",81.23M,$1.44,566,46.28,Buy,52.00,"Oct 15, 2024"
165.89M,"1,523,149",-199.68M,$0.80,"2,500",4.500,Hold,7.25,"Aug 6, 2024"
,,,,363,,,,
131.51M,"557,391",-17.56M,n/a,"1,184",5.65,Buy,8.50,"Aug 6, 2024"
224.31M,"280,710",-298.33M,n/a,"1,350",3.310,Hold,9.33,"Aug 15, 2024"
153.61M,"620,969",-36.85M,n/a,37,4.830,Strong Buy,7.50,"Aug 13, 2024"
80.03M,"534,667",-203.85M,n/a,19,9.27,Strong Buy,27.00,"Aug 8, 2024"
20.44M,"153,644",-54.11M,n/a,844,36.26,Buy,39.00,"Aug 29, 2024"
44.85M,"209,649",85.76M,$0.20,832,16.52,Strong Buy,18.13,"Oct 16, 2024"
35.57M,"117,281",47.40M,$0.30,709,20.78,Buy,29.00,"Aug 8, 2024"
20.01M,"96,176",9.65M,$0.24,278,36.83,Buy,56.00,"Jul 2, 2024"
11.27M,"103,842",25.99M,n/a,268,65.36,Strong Buy,36.00,"Aug 6, 2024"
52.65M,"206,460",-103.57M,n/a,"17,000",13.99,Strong Buy,21.40,"Aug 7, 2024"
62.92M,"11,493",-163.30M,n/a,507,11.60,Strong Buy,36.50,"Sep 9, 2024"
35.57M,8,47.40M,$0.30,"1,504",20.25,n/a,n/a,"Aug 8, 2024"
5.41M,"24,793",-250.31M,$0.64,29,135.84,Buy,120.00,"Aug 5, 2024"
188.78M,"763,774",-77.09M,n/a,86,3.890,Strong Buy,4.67,"Aug 1, 2024"
46.34M,"274,845",34.62M,n/a,"2,387",15.84,n/a,n/a,"Sep 4, 2024"
179.37M,"2,795,014",-82.09M,n/a,680,4.090,Strong Buy,10.70,"Aug 8, 2024"
115.77M,"170,409",30.23M,$0.12,"1,133",6.33,Hold,6.13,"Aug 6, 2024"
119.43M,"334,976",-160.93M,n/a,281,6.10,Strong Buy,9.25,"Aug 7, 2024"
223.43M,"952,596",-79.24M,n/a,109,3.250,Strong Buy,5.60,"Aug 7, 2024"
34.99M,"126,595",-11.65M,n/a,59,20.72,Hold,22.00,"Aug 1, 2024"
6.58M,"43,912",85.44M,$1.00,"1,516",109.84,n/a,n/a,"Aug 1, 2024"
30.30M,"114,558",-163.43M,n/a,425,23.80,Hold,30.00,"Aug 2, 2024"
27.65M,"125,583",34.75M,$0.44,331,26.04,Strong Buy,28.00,"Aug 6, 2024"
164.60M,"505,183",-75.29M,n/a,597,4.370,Strong Buy,12.00,"Aug 12, 2024"
12.04M,"208,246",-34.97M,n/a,344,59.70,Strong Buy,76.20,"Aug 6, 2024"
31.56M,"37,230",71.47M,$0.76,876,22.73,Hold,24.00,"Oct 21, 2024"
20.90M,"80,606",65.81M,$0.96,380,34.32,Hold,32.17,"Oct 22, 2024"
147.47M,"731,577",-213.47M,n/a,716,4.860,Buy,6.40,"Aug 1, 2024"
5.60M,"99,741",41.94M,n/a,74,127.93,Strong Buy,163.00,"Aug 7, 2024"
124.74M,"301,693",-73.49M,n/a,,5.74,Strong Buy,13.00,"Aug 8, 2024"
33.75M,"184,904",45.89M,$0.87,"1,509",21.19,Hold,20.00,"Aug 15, 2024"
13.46M,"48,767",37.68M,n/a,45,53.05,Strong Buy,53.00,"Jul 29, 2024"
36.79M,"79,944",30.69M,$0.24,100,19.40,n/a,n/a,"Jul 31, 2024"
162.90M,"55,045",39.31M,n/a,210,4.350,n/a,n/a,"Aug 20, 2024"
18.59M,"145,211",-22.53M,n/a,572,38.09,Strong Buy,68.00,"Aug 6, 2024"
104.15M,"484,547",-38.98M,n/a,360,6.79,Buy,11.00,"Aug 1, 2024"
15.00M,"134,357",-83.80M,n/a,"3,049",46.96,Buy,56.33,"Aug 7, 2024"
11.68M,"17,015",59.42M,$1.60,371,60.20,Hold,61.00,"Oct 16, 2024"
49.55M,"70,097",115.87M,n/a,,14.10,Strong Buy,21.13,"Aug 12, 2024"
54.40M,"220,155",-189.03M,n/a,121,12.76,Strong Buy,32.33,"Aug 13, 2024"
56.43M,"209,301",-93.24M,n/a,452,12.30,Strong Buy,26.00,"Aug 12, 2024"
88.36M,"25,174",-91.15M,n/a,25,7.85,Hold,7.13,"Sep 5, 2024"
19.37M,"68,734",32.94M,$0.92,285,35.80,Strong Buy,32.00,"Oct 22, 2024"
68.32M,"268,794",-220.01M,n/a,,10.14,Strong Buy,25.00,"Aug 8, 2024"
104.82M,"2,396,524",-287.50M,n/a,"1,634",6.60,Buy,12.33,"Aug 8, 2024"
41.69M,"314,210",-40.85M,n/a,292,16.55,Strong Buy,23.43,"Aug 5, 2024"
43.71M,"106,856",19.12M,$0.64,808,15.78,Hold,15.33,"Jul 24, 2024"
76.49M,"536,536",-145.91M,n/a,703,8.98,Buy,15.08,"Aug 1, 2024"
30.53M,"99,236",19.90M,n/a,712,22.43,Buy,27.00,"Aug 8, 2024"
57.23M,"452,627",-109.63M,n/a,"7,500",11.95,Strong Buy,27.00,"Aug 6, 2024"
37.06M,"165,704",101.87M,$1.86,970,18.36,Buy,18.80,"Aug 12, 2024"
,,,,55,,,,
45.08M,"317,430",39.61M,$0.52,"2,872",15.05,Strong Buy,18.00,"Sep 5, 2024"
71.37M,"887,809",83.97M,$0.60,293,9.49,n/a,n/a,"Aug 1, 2024"
70.54M,"343,907",-110.78M,n/a,"7,400",9.60,Strong Buy,20.00,"Aug 12, 2024"
119.25M,"306,258",6.15M,n/a,157,5.67,Buy,6.80,"Aug 8, 2024"
24.15M,"65,192",54.49M,n/a,185,27.89,Buy,29.00,"Aug 8, 2024"
1.38M,"26,311",44.90M,n/a,151,488.55,n/a,n/a,"Aug 14, 2024"
36.30M,"93,081",-270.62M,n/a,"1,109",18.53,Strong Buy,28.00,"Aug 1, 2024"
63.58M,"375,029",-140.75M,n/a,,10.58,Buy,12.50,"Oct 5, 2024"
181.73M,"1,974,030",-20.87M,n/a,239,3.610,Strong Buy,6.50,"Aug 14, 2024"
,,,,389,,,,
146.55M,"3,863,752",-91.30M,n/a,"2,364",4.550,Strong Buy,9.67,"Oct 7, 2024"
30.18M,"218,368",-36.53M,$1.80,71,22.09,Hold,22.50,"Jul 24, 2024"
114.85M,"759,660",-161.09M,n/a,224,5.77,Strong Buy,11.00,"Aug 7, 2024"
361.49M,"2,300,285",-202.11M,n/a,768,1.830,Buy,10.00,"Aug 1, 2024"
33.16M,"107,487",94.95M,$2.46,565,19.93,Hold,22.00,"Aug 1, 2024"
,,,,811,,,,
38.17M,"152,353",-120.49M,n/a,,17.29,Buy,18.00,"Aug 6, 2024"
95.32M,"283,129",162.00M,n/a,770,6.91,Strong Buy,6.94,"Aug 5, 2024"
19.01M,"71,687",49.21M,$1.44,349,34.44,n/a,n/a,"Jul 22, 2024"
11.28M,"33,092",51.95M,$0.92,248,58.04,Hold,51.00,"Jul 29, 2024"
46.13M,"985,128",63.59M,n/a,100,14.19,Buy,28.22,"Jul 30, 2024"
54.74M,"261,969",78.15M,n/a,811,11.85,Strong Buy,17.00,"Jul 31, 2024"
65.19M,"448,116",-41.96M,n/a,676,9.92,Strong Buy,12.00,"Aug 6, 2024"
37.03M,"256,786",-82.59M,n/a,621,17.35,Strong Buy,28.67,"Aug 14, 2024"
5.49M,"40,960",77.75M,n/a,367,117.07,Sell,56.00,"Oct 18, 2024"
157.55M,"2,012,274",-19.07M,n/a,"4,200",4.070,Strong Buy,5.75,"Aug 8, 2024"
17.23M,"256,451",26.88M,n/a,"3,520",37.20,Hold,33.67,"Aug 9, 2024"
36.52M,"223,262",-108.14M,n/a,79,17.48,Strong Buy,32.60,"Aug 8, 2024"
21.32M,"30,841",43.26M,$0.80,344,29.81,Buy,32.33,"Jul 24, 2024"
142.26M,"164,045",18.87M,n/a,49,4.420,Buy,7.00,"Aug 8, 2024"
156.20M,"516,381",36.93M,n/a,201,4.020,Strong Buy,6.22,"Aug 30, 2024"
42.53M,"297,606",-1.41M,$1.20,180,14.76,Strong Buy,15.50,"Aug 6, 2024"
,,,,"1,173",,,,
50.58M,"59,951",-60.88M,n/a,"59,000",12.41,Hold,14.00,"Apr 30, 2024"
62.85M,"119,268",3.07M,n/a,"8,900",9.95,Strong Buy,19.50,"Sep 9, 2024"
592.00M,"59,999",-15.46M,$0.75,"3,107",7.75,n/a,n/a,"Sep 5, 2024"
105.65M,"1,140,216",-115.16M,n/a,"1,316",5.89,Strong Buy,15.80,"Aug 12, 2024"
59.32M,"158,515",-220.40M,n/a,244,10.45,Buy,16.75,"Aug 14, 2024"
131.86M,"801,885",36.66M,n/a,"2,841",4.700,Strong Buy,8.38,"Aug 6, 2024"
17.36M,"32,001",61.79M,$0.44,600,35.69,Buy,34.00,"Jul 24, 2024"
52.45M,"288,216",53.74M,$0.55,424,11.80,Strong Buy,17.50,"Aug 7, 2024"
27.50M,"157,082",-69.47M,n/a,"2,837",22.50,Strong Buy,33.00,"Aug 14, 2024"
,,,,159,,,,
25.50M,"49,921",61.65M,$0.56,148,24.14,Buy,25.00,"Jul 25, 2024"
61.29M,"422,002",48.52M,$0.52,"10,493",10.04,Buy,11.50,"Jul 25, 2024"
21.36M,"55,613",-40.90M,n/a,66,28.81,Buy,34.00,"Aug 13, 2024"
44.57M,"509,458",-24.61M,n/a,28,13.74,Buy,19.38,"Aug 12, 2024"
52.45M,"41,310",53.74M,$0.90,"1,377",11.02,Strong Buy,17.50,"Aug 7, 2024"
37.87M,"249,228",16.33M,n/a,970,16.12,Buy,13.38,"Aug 1, 2024"
30.07M,"140,689",66.59M,$1.00,76,20.30,Hold,20.33,"Oct 22, 2024"
67.19M,"1,065,230",44.10M,n/a,"4,100",9.07,n/a,n/a,"Aug 6, 2024"
64.21M,"297,974",-7.79M,n/a,666,9.48,Sell,8.00,"Aug 29, 2024"
4.91M,"15,483",40.42M,$0.80,"3,379",123.39,n/a,n/a,"Jul 31, 2024"
90.58M,"468,304",-157.72M,$0.80,199,6.65,Buy,8.00,"Jul 31, 2024"
49.42M,"243,806",-241.08M,n/a,35,12.13,Strong Buy,40.10,"Aug 1, 2024"
52.03M,"31,520",-32.32M,n/a,"1,336",11.48,Strong Buy,36.67,"Sep 3, 2024"
42.11M,"405,381",-113.58M,n/a,314,14.16,Strong Buy,48.38,"Aug 13, 2024"
27.04M,"314,580",-71.96M,n/a,376,21.99,Strong Buy,65.00,"Aug 5, 2024"
299.41M,"2,701,155",-186.46M,n/a,24,1.990,Hold,3.05,"Aug 12, 2024"
162.40M,"1,117,842",22.00M,n/a,15,3.640,Buy,9.00,"Aug 7, 2024"
20.27M,"279,026",-61.01M,n/a,930,29.11,Hold,19.00,"Sep 5, 2024"
174.53M,"185,796",-53.60M,n/a,,3.380,Strong Buy,5.75,"Jul 24, 2024"
13.63M,"31,336",27.44M,$1.20,"3,038",43.25,Buy,44.00,"Oct 17, 2024"
53.13M,"51,912",30.84M,$0.68,618,11.06,Strong Buy,14.33,"Aug 7, 2024"
19.89M,"178,466",50.70M,$1.56,"2,516",29.53,Buy,35.00,"Aug 19, 2024"
14.57M,"40,911",43.51M,$1.68,91,40.24,Hold,41.00,"Jul 30, 2024"
23.69M,"200,063",-6.93M,n/a,950,24.65,Strong Buy,28.67,"Aug 7, 2024"
89.84M,"2,090,933",-90.80M,n/a,217,6.47,Hold,9.63,"Aug 27, 2024"
35.19M,"139,304",104.44M,n/a,"1,980",16.52,Strong Buy,21.67,"Aug 13, 2024"
12.67M,"37,336",18.64M,$0.60,"1,269",45.84,Strong Buy,60.00,"Aug 1, 2024"
230.40M,"1,207,468",-245.30M,n/a,"4,325",2.520,Buy,4.27,"Aug 20, 2024"
70.37M,"986,321",-95.90M,n/a,382,8.22,Strong Buy,13.50,"Aug 5, 2024"
49.73M,"82,197",-119.67M,n/a,"1,616",11.61,Strong Buy,30.00,"Aug 13, 2024"
32.61M,"279,424",58.47M,n/a,428,17.70,Strong Buy,25.50,"Aug 7, 2024"
16.94M,"47,219",51.08M,$0.84,895,34.04,Buy,34.83,"Jul 23, 2024"
62.40M,"1,027,692",-20.23M,n/a,130,9.17,Strong Buy,14.38,"Jul 31, 2024"
184.91M,"2,795,909",3.03M,n/a,"1,548",3.090,Hold,4.38,"Aug 7, 2024"
37.58M,"69,268",50.91M,$0.68,665,15.19,Hold,15.25,"Jul 24, 2024"
116.61M,"1,520",-91.10M,n/a,233,4.990,Strong Buy,8.88,"Jun 3, 2024"
8.13M,"25,455",58.23M,$0.04,"2,213",69.98,Buy,54.00,"Jul 29, 2024"
64.60M,"273,285",-13.12M,n/a,529,8.79,Strong Buy,11.63,"Aug 9, 2024"
31.64M,"176,554",-9.27M,n/a,"5,800",17.94,Sell,7.03,"Sep 3, 2024"
183.46M,"1,405,510",-51.07M,n/a,150,3.090,Buy,5.64,"Aug 5, 2024"
14.27M,"104,102",-1.40M,n/a,"1,122",39.71,Hold,43.00,"Jul 31, 2024"
147.66M,"7,593,698",28.92M,n/a,71,3.830,Strong Buy,6.00,"Aug 19, 2024"
19.03M,"22,532",7.48M,n/a,"1,613",29.64,n/a,n/a,"Aug 7, 2024"
48.13M,"145,441",-50.61M,n/a,"3,180",11.68,Strong Buy,16.00,"Aug 1, 2024"
,,,,,,,,
266.97M,"1,050,838",-403.45M,n/a,400,2.100,Strong Buy,n/a,"Aug 27, 2024"
16.39M,"39,761",45.83M,$0.56,676,34.16,Buy,33.50,"Jul 18, 2024"
265.08M,"860,503",-82.49M,n/a,,2.110,Buy,3.25,"Aug 1, 2024"
2.18M,"20,770",20.58M,$2.52,,256.43,n/a,n/a,"Oct 11, 2024"
53.30M,"399,775",-54.91M,n/a,,10.45,Strong Buy,13.25,"Aug 8, 2024"
17.03M,"15,431",24.77M,$0.36,,32.70,n/a,n/a,"Jul 23, 2024"
70.44M,"150,686",-126.83M,n/a,"1,029",7.90,Strong Buy,16.33,"Aug 29, 2024"
52.51M,"357,449",-43.32M,n/a,404,10.59,Buy,9.63,"Aug 8, 2024"
28.99M,"263,493",3.00M,n/a,861,19.14,Strong Buy,30.00,"Aug 8, 2024"
678.35M,"8,961",-13.33M,n/a,806,7.60,Strong Buy,37.00,"Aug 1, 2024"
13.99M,"145,236",17.13M,n/a,"3,628",39.26,Strong Buy,41.00,"Aug 1, 2024"
43.83M,"299,705",-16.54M,n/a,90,12.52,Strong Buy,13.80,"Aug 8, 2024"
138.75M,"150,549",-1.93M,n/a,435,7.99,Strong Buy,9.10,"Aug 22, 2024"
14.36M,"59,731",22.90M,$0.84,780,38.16,n/a,n/a,"Aug 2, 2024"
596.94M,"607,903",-330.76M,n/a,852,0.917,Buy,1.96,"Jul 24, 2024"
17.06M,"102,993",45.80M,$2.24,"13,131",32.05,Hold,n/a,"Oct 21, 2024"
209.11M,"2,363,355",-279.42M,n/a,"1,663",2.610,Buy,10.26,"Aug 7, 2024"
39.74M,"763,287",-35.96M,n/a,441,13.72,Hold,17.83,"Jul 30, 2024"
41.50M,"121,242",15.90M,$0.32,244,13.13,Hold,14.00,"Oct 22, 2024"
226.03M,"426,045",-814.20M,n/a,,2.410,Hold,2.15,"Aug 8, 2024"
43.08M,"133,454",-126.64M,n/a,,12.63,Strong Buy,26.00,"Sep 5, 2024"
127.48M,"341,272",-63.53M,n/a,,4.265,Strong Buy,12.90,"Aug 19, 2024"
48.15M,"219,601",67.51M,n/a,,11.29,Buy,15.00,"Aug 7, 2024"
71.89M,"108,647",-11.93M,n/a,487,7.54,Hold,8.25,"Sep 10, 2024"
118.48M,"457,374",-241.62M,n/a,"3,352",4.570,n/a,n/a,"Aug 6, 2024"
60.08M,"99,166",-19.98M,n/a,420,8.85,n/a,n/a,n/a
,,,,537,,,,
14.24M,"69,933",-8.93M,n/a,"4,700",37.85,Strong Buy,46.67,"Aug 1, 2024"
131.55M,"2,559",-34.72M,n/a,155,7.87,Strong Buy,21.50,"Aug 13, 2024"
,,,,,,,,
,,,,"2,400",,,,
,,,,269,,,,
,,,,106,,,,
84.86M,"1,453,633",-545.27M,n/a,285,6.21,Sell,4.30,"Aug 9, 2024"
43.19M,"185,517",28.57M,$0.52,42,12.25,Hold,11.13,"Jul 24, 2024"
11.81M,"40,779",51.00M,$1.80,288,44.77,Hold,45.00,"Jul 23, 2024"
20.01M,"38,156",28.23M,$0.85,,26.33,Buy,30.00,"Aug 8, 2024"
49.10M,"32,891",35.72M,$0.20,36,10.72,Buy,14.00,"Aug 14, 2024"
270.21M,"6,372",-65.70M,n/a,99,22.10,n/a,n/a,"Aug 28, 2024"
23.87M,"48,797",29.27M,$0.48,645,21.88,n/a,n/a,"Aug 6, 2024"
106.21M,"983,913",-17.31M,n/a,98,4.890,Buy,10.00,"Aug 22, 2024"
25.34M,"81,974",36.76M,$0.64,556,20.47,Sell,19.00,"Aug 6, 2024"
33.81M,"327,129",8.49M,n/a,800,15.34,Buy,19.60,"Jul 31, 2024"
23.76M,"126,529","-21,000",n/a,521,21.83,Buy,26.83,"Aug 8, 2024"
38.38M,"325,181",-39.71M,n/a,,13.50,Strong Buy,23.00,"Aug 8, 2024"
97.32M,"515,547",-160.66M,n/a,59,5.31,Buy,15.00,"Aug 7, 2024"
,,,,914,,,,
,,,,121,,,,
,,,,186,,,,
,,,,57,,,,
61.05M,"396,977",-445.67M,n/a,"2,600",8.41,Hold,16.28,"Jul 31, 2024"
370.93M,"2,078,829",-135.82M,n/a,64,1.380,Hold,1.43,"Aug 9, 2024"
216.71M,"4,778,200",-124.83M,n/a,,2.360,Buy,5.00,"Aug 6, 2024"
16.73M,"38,120",31.73M,$1.08,519,30.55,Hold,n/a,"Oct 22, 2024"
32.35M,"140,714",-53.88M,n/a,,15.76,n/a,n/a,"Aug 5, 2024"
113.56M,"657,773",-92.26M,n/a,"2,670",4.490,Strong Buy,8.40,"Aug 14, 2024"
25.96M,"278,982","-981,993",n/a,"4,900",19.55,Strong Buy,20.67,"Aug 9, 2024"
,,,,726,,,,
40.86M,"326,233",34.20M,n/a,538,12.41,Strong Buy,25.50,"Aug 1, 2024"
72.81M,"170,696",12.04M,n/a,19,6.95,Strong Buy,10.00,"Sep 4, 2024"
118.16M,"444,791",-62.38M,n/a,170,4.280,Strong Buy,9.00,"Aug 8, 2024"
12.72M,"323,090",28.73M,n/a,245,39.44,Strong Buy,60.00,"Aug 5, 2024"
63.81M,"193,438",-58.34M,n/a,"1,282",7.86,Strong Buy,21.33,"Aug 7, 2024"
247.03M,"6,274",-6.40M,n/a,204,2.000,n/a,n/a,n/a
33.48M,"73,347",7.33M,$0.69,140,14.97,n/a,n/a,"Jul 25, 2024"
,,,,"1,360",,,,
41.74M,"4,898",-65.27M,n/a,168,11.95,Strong Buy,30.17,"Aug 27, 2024"
65.08M,"18,800","20,949",n/a,135,7.65,Strong Buy,12.25,"Jul 31, 2024"
16.70M,"51,967",45.24M,$0.80,37,29.79,Buy,28.50,"Jul 24, 2024"
141.17M,"216,766",-342.92M,n/a,"5,860",3.510,Strong Buy,18.00,"Aug 13, 2024"
79.24M,20,-8.37M,n/a,864,6.49,n/a,n/a,"Sep 3, 2024"
493.76M,"8,083,206",-539.06M,n/a,"1,100",1.000,Hold,3.60,"Aug 6, 2024"
17.54M,"67,098",33.52M,$0.20,,28.13,Buy,32.00,"Jul 23, 2024"
21.75M,"95,372",75.79M,$1.98,395,22.68,n/a,n/a,"Aug 7, 2024"
,,,,,,,,
71.07M,"1,950,072",-101.35M,n/a,,6.94,Buy,18.80,"Aug 8, 2024"
21.39M,"59,696",43.14M,$1.24,,23.05,Hold,26.75,"Jul 25, 2024"
53.52M,"301,062",-86.82M,n/a,"7,000",9.19,Strong Buy,32.20,"Aug 7, 2024"
68.39M,"2,974,222",-139.21M,n/a,"2,168",7.19,Strong Buy,47.40,"Aug 1, 2024"
81.43M,"754,679",-102.04M,n/a,731,6.02,Strong Buy,26.83,"Aug 13, 2024"
27.57M,"104,893",-351.72M,n/a,145,17.75,Hold,18.33,"Aug 1, 2024"
35.32M,"114,158",66.08M,n/a,"1,900",13.85,n/a,n/a,"Aug 6, 2024"
33.48M,"1,498",7.33M,$0.62,143,12.88,n/a,n/a,"Jul 25, 2024"
,,,,253,,,,
219.24M,"590,580",-146.40M,n/a,"2,000",2.230,n/a,n/a,"Aug 20, 2024"
35.84M,"113,021",-6.46M,$0.56,91,13.63,Strong Buy,17.33,"Aug 8, 2024"
,,,,"1,325",,,,
34.46M,"187,365",-2.40M,$0.20,"7,900",14.17,Buy,15.00,"Jul 25, 2024"
31.41M,"78,135",-135.47M,n/a,635,15.46,Strong Buy,20.00,"Sep 5, 2024"
181.06M,988,52.85M,n/a,176,2.610,Buy,6.00,"Sep 6, 2024"
44.57M,"315,470",16.08M,$0.44,"1,321",10.87,Buy,11.60,"Aug 8, 2024"
101.60M,"246,301",-1.72M,n/a,24,4.740,n/a,n/a,"Sep 3, 2024"
100.38M,"149,087",60.47M,n/a,52,4.790,Strong Buy,7.00,"Aug 8, 2024"
156.55M,"102,063",2.91M,n/a,292,3.070,n/a,n/a,"Sep 6, 2024"
76.94M,"779,850",-31.36M,$0.68,499,6.23,Hold,7.00,"Aug 9, 2024"
32.12M,"46,633",16.09M,n/a,,14.92,Hold,n/a,"Jul 29, 2024"
7.82M,"13,505",40.26M,$0.60,400,61.26,Strong Buy,63.50,"Oct 21, 2024"
31.05M,"1,011,496",-2.88B,n/a,754,15.41,n/a,n/a,"Aug 13, 2024"
10.09M,"17,213",19.18M,$1.36,116,47.38,n/a,n/a,"Oct 16, 2024"
99.81M,"510,500",-299.80M,n/a,129,4.790,Buy,10.83,"Aug 13, 2024"
12.06M,"136,753",-57.05M,n/a,"3,227",39.49,Strong Buy,62.25,"Aug 8, 2024"
122.34M,"856,554",-121.00M,n/a,"1,300",3.890,Hold,3.45,"Sep 16, 2024"
615.92M,"2,855,960",-430.11M,n/a,686,0.773,Buy,1.70,"Sep 3, 2024"
27.30M,"128,073",-21.24M,n/a,"1,030",17.33,Buy,25.25,"Aug 1, 2024"
36.69M,"230,355",69.99M,$0.96,181,12.86,Hold,13.50,"Aug 5, 2024"
,,,,20,,,,
9.98M,"16,725",17.12M,$1.85,590,47.17,Hold,47.00,"Jul 25, 2024"
,,,,"1,540",,,,
,,,,637,,,,
,,,,115,,,,
14.79M,"28,645",48.44M,$1.00,267,31.44,n/a,n/a,"Oct 2, 2024"
11.13M,"94,322",36.00M,$0.60,556,41.62,n/a,n/a,"Aug 1, 2024"
47.48M,"203,392",-25.52M,n/a,"3,064",9.75,Strong Buy,12.00,"Aug 7, 2024"
69.34M,"936,903",-107.87M,n/a,377,6.64,Buy,9.29,"Aug 1, 2024"
44.10M,"529,444",58.18M,n/a,293,10.43,Sell,11.00,"Aug 9, 2024"
105.09M,"287,878",-35.43M,n/a,480,4.350,Strong Buy,8.67,"Aug 6, 2024"
56.24M,"129,191",-57.17M,n/a,796,8.10,n/a,n/a,n/a
18.21M,"78,531",-10.17M,n/a,69,24.95,Strong Buy,41.08,"Aug 6, 2024"
12.99M,"47,136",2.36M,n/a,532,34.94,Strong Buy,49.00,"Aug 9, 2024"
9.92M,"57,811",25.12M,n/a,564,45.76,Strong Buy,45.00,"Jul 31, 2024"
24.87M,"131,261",20.49M,n/a,20,18.24,Buy,23.80,"Aug 13, 2024"
28.68M,"303,334",-150.29M,n/a,"3,353",15.78,Buy,15.00,"Jul 31, 2024"
100.08M,"802,737",-12.44M,n/a,559,4.520,Buy,4.65,"Aug 8, 2024"
77.75M,"492,530",-41.13M,n/a,"2,800",5.81,Hold,9.22,"Aug 1, 2024"
662.81M,"2,921",-161.61M,n/a,600,2.900,Buy,16.00,"Sep 3, 2024"
204.94M,"1,132,490",-114.34M,n/a,"2,800",2.200,Strong Buy,6.22,"Aug 12, 2024"
106.83M,"4,037,740",-42.25M,n/a,102,4.210,Buy,4.63,"Aug 1, 2024"
36.28M,"144,100",24.15M,n/a,"3,508",12.30,Buy,14.67,"Aug 1, 2024"
43.13M,"12,119",7.69M,n/a,255,10.33,n/a,n/a,n/a
,,,,420,,,,
6.95M,"22,372",65.29M,n/a,"3,778",64.15,n/a,n/a,"Aug 9, 2024"
19.78M,"59,619",7.09M,$0.80,571,22.48,Hold,23.33,"Jul 24, 2024"
55.33M,"150,100",-86.45M,n/a,,8.01,Buy,14.75,"Aug 8, 2024"
2.75M,"23,895",41.23M,$6.00,"2,280",160.96,n/a,n/a,"Jul 31, 2024"
78.97M,"388,833",-562.92M,$0.36,"1,050",5.59,Buy,7.00,"Aug 5, 2024"
60.47M,"421,985",-86.45M,n/a,164,7.27,Buy,11.55,"Aug 7, 2024"
65.04M,"1,954,260",-314.44M,n/a,302,6.74,Sell,5.07,"Aug 7, 2024"
49.41M,"717,455",-180.54M,n/a,257,8.86,Buy,12.50,"Aug 6, 2024"
113.88M,"728,217",-175.72M,n/a,376,3.840,Hold,6.55,"Aug 13, 2024"
146.74M,"167,283",-15.07M,n/a,754,2.970,n/a,n/a,"Aug 12, 2024"
46.20M,"482,720",-6.74M,n/a,"2,530",9.43,Strong Buy,13.00,"Aug 8, 2024"
28.11M,"90,101",24.98M,$0.20,"4,362",15.34,Strong Buy,20.33,"Aug 15, 2024"
185.30M,"527,309",-24.06M,n/a,365,2.330,Buy,3.25,"Aug 1, 2024"
29.56M,"1,021,411",33.16M,n/a,135,14.59,Hold,12.00,"Oct 3, 2024"
26.29M,"130,341",-37.81M,n/a,54,16.36,Strong Buy,25.83,"Aug 7, 2024"
62.42M,"401,484",-86.67M,$0.44,,6.88,Hold,7.00,"Jul 25, 2024"
17.80M,"115,255",-1.49M,$0.40,44,24.11,Buy,38.50,"Sep 4, 2024"
149.00M,"912,736",-59.56M,n/a,28,2.880,Strong Buy,4.63,"Aug 8, 2024"
15.83M,"58,728",40.76M,$0.38,,26.96,n/a,n/a,"Aug 14, 2024"
91.85M,"129,000",-125.58M,n/a,11,4.640,Strong Buy,9.00,"Aug 9, 2024"
272.53M,"5,785,736",-400.38M,n/a,122,1.560,Buy,4.64,"Aug 7, 2024"
56.64M,"28,401",-12.93M,n/a,624,7.50,Strong Buy,12.50,"Sep 16, 2024"
14.19M,"36,441",35.77M,$0.96,67,29.90,Hold,29.00,"Oct 21, 2024"
29.07M,"102,685",24.94M,$0.88,224,14.53,Hold,15.50,"Jul 29, 2024"
118.69M,"3,827,009",-31.70M,n/a,516,3.630,Strong Buy,5.67,"Aug 12, 2024"
28.04M,"132,604",-276.15M,$0.75,,15.04,Hold,n/a,"Jul 2, 2024"
19.30M,"153,050",90.99M,n/a,58,21.83,Buy,24.25,"Aug 8, 2024"
6.93M,2,52.78M,n/a,"2,300",61.54,n/a,n/a,"Sep 3, 2024"
16.72M,"58,071",25.18M,$1.80,"2,300",25.14,Buy,32.00,"Aug 1, 2024"
6.93M,"24,054",52.78M,n/a,"2,149",60.50,n/a,n/a,"Aug 8, 2024"
9.30M,"97,986",-85.30M,n/a,679,45.09,Strong Buy,123.75,"Aug 13, 2024"
66.85M,"300,201",-197.46M,$0.30,99,6.27,Hold,8.17,"Aug 8, 2024"
