Shares Number,Volume,Net Income,Dividends,Employee Amount,Previous Close,Analysts,Price Target,Earnings Date
234.91M,"37,751",279.00M,n/a,"17,100",70.44,Strong Buy,75.00,"Aug 8, 2024"
130.18M,"1,221,754",808.00M,n/a,"23,100",138.13,Buy,148.00,"Aug 8, 2024"
201.64M,"804,842",1.50B,$3.00,"4,200",88.70,Hold,89.54,"Oct 16, 2024"
485.53M,"7,491,240",-406.47M,n/a,"8,000",36.37,Strong Buy,49.50,"Aug 1, 2024"
150.98M,"1,407,815",184.15M,$0.40,908,116.32,Strong Buy,145.80,"Jul 31, 2024"
97.60M,"478,642",846.10M,n/a,"21,610",179.32,Buy,218.00,"Jul 25, 2024"
74.70M,"627,903",447.03M,n/a,"9,750",233.97,Buy,322.78,"Jul 24, 2024"
159.72M,"1,343,720",780.30M,$2.80,"2,204",109.21,Hold,113.59,"Jul 30, 2024"
63.47M,"305,559",795.95M,n/a,"3,401",27.34,Buy,46.00,"Aug 8, 2024"
190.38M,"852,274",256.59M,n/a,"8,400",90.02,Buy,106.78,"Aug 5, 2024"
74.76M,"511,698",974.41M,$1.20,"3,157",223.82,Buy,278.00,"Oct 24, 2024"
135.42M,"3,047,199",129.61M,n/a,"5,908",123.00,Buy,128.39,"Oct 24, 2024"
168.23M,"1,628,744",-276.00M,n/a,"23,900",99.01,Buy,104.53,"Aug 28, 2024"
568.58M,"455,814",266.00M,$0.20,"4,580",29.20,Buy,33.00,"Aug 8, 2024"
61.25M,"199,701",204.72M,n/a,"23,900",262.51,Strong Buy,257.43,"Oct 22, 2024"
568.27M,"1,145,060",266.00M,$0.20,"5,200",28.14,Buy,33.00,"Aug 8, 2024"
317.09M,"682,256",374.96M,$0.24,"3,400",50.22,Buy,59.57,"Aug 6, 2024"
615.53M,"3,384,228",610.00M,$0.50,"1,168",25.72,Buy,27.20,"Aug 1, 2024"
44.49M,"224,785",1.07B,n/a,"1,400",348.03,Buy,335.73,"Jul 31, 2024"
