Stock,MA20,MA50,MA200
WIX,3.97%,4.07%,22.28%
CHRD,-4.10%,-9.51%,-10.07%
RGLD,5.10%,6.96%,16.36%
DUOL,10.70%,9.34%,1.93%
CELH,-2.94%,-19.37%,-37.34%
OLED,1.34%,-8.29%,3.99%
CART,8.24%,6.71%,15.31%
HTHT,2.40%,-4.71%,-15.42%
ESLT,4.97%,7.52%,0.48%
HSIC,3.81%,5.93%,0.94%
MKTX,1.33%,8.09%,3.64%
WBA,-12.86%,-20.59%,-48.70%
LBRDK,-0.09%,8.95%,1.25%
PCVX,1.90%,0.56%,15.31%
LBRDA,-0.28%,8.11%,-0.40%
ROIV,6.76%,7.99%,10.48%
SEIC,1.31%,1.32%,2.18%
PCTY,5.52%,11.85%,3.21%
FUTU,2.22%,-3.39%,3.33%
OTEX,5.69%,6.35%,-8.78%
CROX,7.24%,2.97%,15.90%
VFS,-3.08%,-10.39%,-27.13%
WYNN,0.50%,-6.30%,-16.57%
DSGX,3.48%,3.28%,11.56%
ENSG,4.32%,10.19%,22.20%
APPF,6.62%,-1.48%,5.70%
CZR,4.19%,2.16%,-6.88%
AMKR,5.36%,-9.58%,1.43%
RGEN,-7.95%,4.88%,-11.85%
MKSI,3.59%,-5.31%,2.97%
CBSH,2.16%,5.83%,15.84%
PARAA,,5.83%,15.84%
SOFI,11.41%,12.62%,3.46%
ASND,3.56%,3.66%,4.72%
AGNC,1.94%,2.73%,6.75%
HALO,10.17%,15.58%,45.73%
DBX,6.34%,7.63%,-3.97%
FSV,4.29%,9.42%,12.39%
WFRD,0.38%,-7.70%,-0.82%
ITCI,-2.69%,-1.51%,6.92%
MTSI,2.54%,-1.29%,9.19%
CRUS,8.14%,8.83%,43.09%
ALTR,2.69%,-2.31%,5.96%
AAON,5.12%,7.34%,17.84%
MIDD,1.55%,7.50%,1.88%
LSXMK,4.90%,4.07%,-11.01%
LSXMB,,4.07%,-11.01%
LSXMA,4.82%,4.03%,-11.11%
UFPI,0.18%,2.69%,4.13%
TLN,18.87%,23.33%,66.92%
PARA,-2.81%,-3.72%,-14.99%
IEP,-15.53%,-16.72%,-20.30%
PNFP,7.75%,12.63%,18.29%
DRS,0.12%,2.24%,22.78%
GTLB,3.46%,-2.43%,-16.08%
SPSC,-0.54%,0.49%,5.72%
LNTH,9.59%,11.38%,48.05%
ACHC,6.95%,12.98%,5.19%
AUR,12.45%,20.54%,39.81%
EXEL,0.48%,8.78%,13.95%
ZION,3.16%,5.13%,15.23%
WSC,6.08%,2.09%,-6.69%
CIGI,5.79%,14.69%,23.67%
RVMD,0.07%,2.37%,28.76%
BPOP,2.70%,6.06%,16.41%
GNTX,3.73%,-3.69%,-7.39%
VKTX,5.08%,10.52%,27.23%
WTFC,4.14%,4.11%,9.06%
FYBR,2.82%,6.87%,17.68%
JAZZ,2.24%,5.03%,-0.71%
LBTYB,,5.03%,-0.71%
LBTYK,3.23%,6.26%,9.87%
GGAL,10.58%,17.59%,46.71%
NSIT,8.01%,5.59%,14.33%
GRFS,16.76%,16.69%,11.03%
CFLT,-0.23%,-14.18%,-19.94%
LBTYA,3.32%,5.91%,11.24%
IONS,1.47%,2.47%,5.20%
AAL,1.80%,-3.70%,-21.82%
CCCS,3.67%,-0.91%,-4.14%
HCP,0.33%,0.66%,21.30%
CGNX,-1.51%,-12.97%,-5.71%
LFUS,5.31%,4.20%,8.71%
CYTK,-0.66%,0.26%,-8.24%
FRPT,5.21%,6.71%,27.66%
BOKF,3.65%,6.30%,16.97%
LSTR,-3.51%,-2.16%,-1.77%
CVLT,2.35%,14.56%,48.53%
HQY,3.93%,-2.13%,-0.46%
MAT,2.40%,9.32%,5.45%
SAIC,3.72%,6.69%,1.73%
NOVT,3.88%,6.04%,11.67%
LSCC,-0.96%,-13.37%,-28.36%
ALAB,8.77%,-11.24%,-27.65%
NVMI,5.71%,1.59%,27.16%
REYN,4.73%,9.35%,10.85%
VRNS,5.17%,15.22%,24.17%
MASI,-1.76%,-1.16%,-4.56%
ETSY,-0.71%,-4.99%,-18.01%
BZ,0.08%,-14.49%,-18.44%
ONB,4.29%,6.70%,15.23%
CWST,1.56%,3.32%,13.45%
BILI,0.44%,-5.81%,12.29%
HLNE,9.30%,14.57%,31.15%
CHX,0.75%,-1.99%,0.48%
OLLI,0.34%,-2.07%,17.21%
NXT,0.03%,-10.82%,-14.82%
CRDO,20.55%,18.61%,56.16%
PEGA,3.06%,10.44%,20.16%
BPMC,-2.47%,-11.46%,1.05%
COOP,4.27%,7.13%,22.44%
RCM,1.18%,7.17%,16.93%
TMDX,9.69%,15.96%,65.08%
EXLS,4.28%,9.44%,17.40%
GLBE,3.64%,1.39%,-0.38%
CACC,-0.66%,-7.53%,-8.19%
KRYS,3.13%,3.17%,28.80%
VERX,4.19%,4.27%,24.22%
FRHC,7.25%,12.56%,18.87%
QXO,22.68%,-69.26%,-81.52%
BECN,1.65%,-2.79%,-0.79%
BCPC,2.25%,4.18%,14.81%
NXST,0.48%,0.57%,3.38%
NUVL,12.29%,9.61%,13.79%
MARA,4.04%,-8.93%,-8.34%
MDGL,-0.33%,-5.76%,7.41%
ACT,4.37%,8.39%,17.86%
ALGM,4.31%,-8.06%,-12.72%
SRCL,0.02%,0.48%,13.43%
SIGI,1.10%,-2.03%,-10.07%
OPCH,1.39%,5.09%,1.16%
MMSI,4.51%,8.05%,19.03%
EXPO,2.45%,5.72%,20.39%
CRVL,1.16%,9.68%,24.07%
FCFS,1.03%,5.55%,1.30%
SATS,5.58%,5.38%,27.04%
DOOO,3.01%,5.53%,5.30%
COLB,3.11%,10.97%,16.52%
RARE,12.35%,25.85%,28.60%
UBSI,4.03%,8.65%,9.99%
AVAV,-0.67%,-0.97%,14.30%
FFIN,0.96%,8.06%,16.71%
ACIW,5.79%,15.85%,43.95%
TPG,6.20%,11.48%,18.90%
XRAY,1.45%,0.09%,-16.19%
RNA,-0.78%,1.87%,82.81%
UMBF,6.29%,12.41%,23.49%
CSWI,5.55%,12.61%,36.94%
RMBS,0.44%,-16.11%,-24.85%
ASTS,21.41%,74.92%,316.25%
OZK,1.23%,1.16%,-2.88%
TENB,-2.75%,-3.57%,-8.17%
COLM,2.35%,3.49%,3.50%
APLS,5.90%,3.86%,-22.50%
AVT,3.19%,4.33%,10.68%
RDNT,4.76%,6.13%,34.75%
RUN,11.86%,28.95%,48.52%
LYFT,6.53%,-5.34%,-19.64%
ESGR,1.16%,1.37%,9.92%
LANC,-11.83%,-10.99%,-9.84%
BBIO,-0.38%,-3.19%,-17.08%
EEFT,5.88%,3.46%,2.88%
IMVT,6.62%,10.51%,-3.24%
NVEI,0.44%,1.58%,16.92%
BGC,8.13%,10.63%,26.28%
SLM,0.55%,-1.20%,5.86%
FELE,2.28%,3.04%,4.37%
DYN,-0.01%,8.68%,66.16%
OS,4.16%,4.67%,4.67%
QLYS,-2.60%,-8.03%,-22.75%
ALKS,3.23%,9.31%,7.69%
PI,7.30%,4.37%,30.99%
TSEM,8.78%,7.11%,26.52%
VRRM,-1.74%,-2.58%,11.89%
ITRI,2.61%,1.18%,14.39%
TIGO,4.46%,7.73%,29.85%
CNXC,8.31%,10.29%,-2.10%
BRZE,10.16%,15.08%,-1.91%
FIVE,13.57%,-6.16%,-46.26%
HWC,4.02%,4.82%,13.38%
VLY,5.22%,12.72%,2.91%
IAC,3.80%,5.87%,2.59%
PECO,4.76%,8.21%,7.12%
CAMT,0.72%,-13.72%,9.26%
DJT,-16.18%,-29.51%,-38.10%
WAY,8.11%,15.23%,15.71%
SHC,7.15%,18.21%,15.91%
VNOM,6.76%,15.63%,33.69%
CRSP,-2.87%,-10.73%,-22.39%
FIZZ,-3.01%,-6.33%,-1.28%
ADMA,13.79%,30.22%,122.11%
STNE,0.95%,4.10%,-11.86%
SGRY,9.38%,18.20%,11.92%
CRNX,5.83%,9.08%,27.95%
RUSHA,1.49%,10.63%,13.94%
AXSM,3.42%,6.86%,13.83%
AEIS,3.67%,0.69%,5.60%
LOPE,-1.95%,-1.36%,3.39%
BLKB,5.90%,6.72%,6.22%
RUSHB,,6.72%,6.22%
PRCT,23.69%,25.58%,53.04%
NCNO,4.77%,6.95%,9.93%
IPAR,-4.19%,-0.33%,-5.06%
LITE,17.24%,11.75%,18.69%
ICUI,13.36%,25.29%,53.84%
FORM,7.26%,-6.49%,8.45%
GBDC,2.87%,-0.67%,-2.36%
ASO,7.18%,5.48%,-5.10%
SBRA,2.70%,5.67%,15.45%
QFIN,16.57%,24.54%,43.76%
IBOC,2.31%,2.59%,12.57%
SANM,-0.95%,-0.38%,13.23%
POWI,0.39%,-6.24%,-11.23%
IESC,9.48%,19.48%,53.66%
SLAB,10.83%,5.70%,-3.17%
OTTR,-4.06%,-3.42%,0.42%
UPST,29.66%,53.95%,53.99%
PAGP,1.21%,-0.04%,7.49%
TFSL,2.89%,3.69%,2.92%
ACLX,17.22%,20.34%,23.26%
ACLS,-1.60%,-13.49%,-8.48%
FTDR,7.28%,23.24%,39.11%
PTEN,-0.65%,-6.18%,-15.08%
MRUS,2.12%,-2.23%,23.84%
STEP,7.60%,13.04%,45.09%
NEOG,3.58%,4.66%,7.58%
CORT,-0.59%,4.79%,25.67%
LLYVK,4.23%,5.82%,5.91%
STRL,6.35%,2.52%,18.32%
TRMD,3.16%,2.76%,11.62%
LLYVA,4.69%,6.59%,7.02%
FRSH,4.07%,-1.69%,-29.54%
IOVA,16.45%,28.32%,15.49%
